                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 0.0049,                0.88199,                0.00084,                0.92401,                 1.6615,                0.99665,                    0.9,                0.91368,                0.80293,                0.99665,                    0.9,                0.91368,                0.64808,                0.00487,                 1.5542,                0.00277,                 1.1677,                 1.8577,              0.0016238,              0.0016238,              0.0016238
                     41,                 0.0043,                0.95831,                0.00112,                0.68823,                 1.4681,                0.99859,                    0.9,                0.91915,                0.75506,                0.99859,                    0.9,                0.91915,                0.67425,                0.00486,                 1.5661,                0.00602,                 0.8841,                 1.7939,              0.0016139,              0.0016139,              0.0016139
                     42,                0.00381,                 0.5812,                0.00086,                0.56714,                 1.4522,                0.99737,                      1,                  0.995,                0.87579,                0.99737,                      1,                  0.995,                0.90552,                0.00394,                0.44963,                  2e-05,                0.68796,                 1.6207,               0.001604,               0.001604,               0.001604
                     43,                0.00369,                0.50372,                0.00038,                0.50522,                 1.3604,                0.99747,                      1,                  0.995,                0.89556,                0.99747,                      1,                  0.995,                0.89934,                0.00362,                0.44981,                  2e-05,                0.69667,                 1.5974,              0.0015941,              0.0015941,              0.0015941
                     44,                0.00365,                0.63357,                0.00026,                0.55735,                 1.4208,                0.99717,                      1,                  0.995,                 0.8862,                0.99717,                      1,                  0.995,                0.93729,                0.00415,                0.39802,                  3e-05,                0.58972,                 1.7704,              0.0015842,              0.0015842,              0.0015842
                     45,                0.00394,                0.83833,                0.00156,                0.63372,                 1.4465,                0.99555,                      1,                  0.995,                0.89919,                0.99555,                      1,                  0.995,                0.94436,                0.00388,                0.40249,                  5e-05,                0.51979,                 1.6835,              0.0015743,              0.0015743,              0.0015743
                     46,                0.00409,                 0.7465,                0.00037,                0.56964,                 1.4238,                0.99635,                      1,                  0.995,                0.83401,                0.99635,                      1,                  0.995,                0.73904,                 0.0045,                0.84644,                  5e-05,                0.54552,                 1.8512,              0.0015644,              0.0015644,              0.0015644
                     47,                0.00426,                  0.638,                0.00032,                0.54231,                 1.4451,                0.99622,                      1,                  0.995,                0.87518,                0.99622,                      1,                  0.995,                0.81232,                0.00396,                0.73768,                  6e-05,                0.54921,                 1.7199,              0.0015545,              0.0015545,              0.0015545
                     48,                0.00385,                0.53785,                0.00026,                0.51412,                 1.3697,                0.99889,                      1,                  0.995,                0.89445,                0.99889,                      1,                  0.995,                 0.9099,                 0.0041,                0.47319,                  7e-05,                0.63156,                 1.6744,              0.0015446,              0.0015446,              0.0015446
                     49,                0.00388,                0.61022,                0.00031,                0.51003,                 1.4269,                      1,                      1,                  0.995,                0.90771,                      1,                      1,                  0.995,                0.93173,                0.00371,                0.46204,                  6e-05,                0.71589,                 1.5878,              0.0015347,              0.0015347,              0.0015347
                     50,                0.00421,                0.67104,                0.00035,                0.54453,                 1.4542,                0.99131,                      1,                  0.995,                0.83874,                0.99131,                      1,                  0.995,                0.85506,                0.00449,                0.63462,                  5e-05,                0.82041,                 1.7952,              0.0015248,              0.0015248,              0.0015248
                     51,                0.00467,                0.74711,                0.00031,                0.58728,                 1.4996,                0.99159,                      1,                  0.995,                0.84071,                0.99159,                      1,                  0.995,                0.85859,                0.00432,                0.68862,                  5e-05,                0.83188,                 1.7843,              0.0015149,              0.0015149,              0.0015149
                     52,                0.00413,                0.63275,                0.00044,                0.51512,                 1.3455,                0.99737,                      1,                  0.995,                0.84112,                0.99737,                      1,                  0.995,                0.90448,                 0.0055,                0.48723,                  3e-05,                0.58959,                 2.0302,               0.001505,               0.001505,               0.001505
                     53,                 0.0044,                0.56622,                0.00028,                0.52907,                 1.4112,                0.99739,                      1,                  0.995,                0.83472,                0.99739,                      1,                  0.995,                0.85057,                0.00563,                0.65887,                  2e-05,                0.61005,                 2.1609,              0.0014951,              0.0014951,              0.0014951
                     54,                0.00393,                0.65105,                0.00021,                0.48856,                 1.3956,                0.99735,                      1,                  0.995,                0.89075,                0.99735,                      1,                  0.995,                0.81162,                0.00425,                0.68368,                  1e-05,                0.58627,                 1.7778,              0.0014852,              0.0014852,              0.0014852
                     55,                0.00395,                0.64546,                0.00026,                0.48304,                 1.3729,                0.99742,                      1,                  0.995,                0.88158,                0.99742,                      1,                  0.995,                0.86435,                0.00377,                0.54457,                  1e-05,                0.57935,                 1.6446,              0.0014753,              0.0014753,              0.0014753
                     56,                0.00392,                0.77679,                 0.0004,                0.49347,                 1.3715,                0.99739,                      1,                  0.995,                0.86614,                0.99739,                      1,                  0.995,                0.76699,                0.00469,                0.92215,                  3e-05,                0.80588,                 1.8567,              0.0014654,              0.0014654,              0.0014654
                     57,                0.00458,                0.76356,                0.00039,                0.53533,                   1.42,                0.99737,                      1,                  0.995,                0.88239,                0.99737,                      1,                  0.995,                0.84052,                0.00419,                0.62505,                  3e-05,                0.60733,                 1.7171,              0.0014555,              0.0014555,              0.0014555
                     58,                0.00405,                0.60409,                0.00035,                0.49785,                 1.4241,                0.99734,                      1,                  0.995,                0.87379,                0.99734,                      1,                  0.995,                0.84325,                0.00405,                0.62584,                  2e-05,                0.55075,                 1.6701,              0.0014456,              0.0014456,              0.0014456
                     59,                0.00414,                0.63377,                0.00031,                0.49534,                 1.4514,                0.99736,                      1,                  0.995,                0.83044,                0.99736,                      1,                  0.995,                 0.7187,                0.00456,                 1.0636,                  1e-05,                0.65294,                 1.8224,              0.0014357,              0.0014357,              0.0014357
                     60,                0.00393,                0.56526,                0.00022,                0.50558,                 1.3501,                0.99759,                      1,                  0.995,                 0.9024,                0.99759,                      1,                  0.995,                0.82839,                0.00356,                0.68145,                  2e-05,                0.50087,                 1.5159,              0.0014258,              0.0014258,              0.0014258
                     61,                0.00365,                0.47745,                 0.0003,                0.45723,                 1.3337,                0.99746,                      1,                  0.995,                0.89445,                0.99746,                      1,                  0.995,                0.93988,                0.00343,                0.33731,                  2e-05,                0.46829,                 1.4796,              0.0014159,              0.0014159,              0.0014159
                     62,                0.00323,                0.51076,                0.00031,                0.43288,                 1.3058,                0.99749,                      1,                  0.995,                 0.8997,                0.99749,                      1,                  0.995,                0.96254,                0.00336,                0.29968,                  3e-05,                0.42617,                 1.4776,               0.001406,               0.001406,               0.001406
                     63,                0.00387,                0.45546,                0.00033,                 0.4417,                  1.282,                0.99748,                      1,                  0.995,                0.88848,                0.99748,                      1,                  0.995,                 0.9537,                0.00366,                0.32961,                  2e-05,                0.44987,                 1.5283,              0.0013961,              0.0013961,              0.0013961
                     64,                0.00358,                0.62677,                0.00027,                0.42183,                 1.2552,                0.99734,                      1,                  0.995,                0.92747,                0.99734,                      1,                  0.995,                0.83018,                0.00315,                0.68247,                  2e-05,                0.39346,                   1.42,              0.0013862,              0.0013862,              0.0013862
                     65,                0.00365,                0.58922,                0.00022,                0.43968,                 1.2464,                0.99721,                      1,                  0.995,                0.90951,                0.99721,                      1,                  0.995,                0.95225,                0.00324,                0.37571,                  2e-05,                0.42342,                 1.4596,              0.0013763,              0.0013763,              0.0013763
                     66,                0.00343,                0.47093,                 0.0002,                0.42446,                 1.2961,                0.99705,                      1,                  0.995,                0.90197,                0.99705,                      1,                  0.995,                0.93703,                0.00352,                 0.3697,                  2e-05,                0.44875,                 1.5787,              0.0013664,              0.0013664,              0.0013664
                     67,                0.00369,                0.52696,                 0.0003,                0.45138,                 1.2844,                0.99703,                      1,                  0.995,                 0.9026,                0.99703,                      1,                  0.995,                0.93039,                 0.0037,                0.41813,                  3e-05,                0.45635,                 1.5939,              0.0013565,              0.0013565,              0.0013565
                     68,                0.00412,                0.50428,                0.00029,                0.44792,                 1.4208,                0.99703,                      1,                  0.995,                0.93052,                0.99703,                      1,                  0.995,                0.94515,                0.00357,                0.32585,                  2e-05,                0.42749,                 1.5664,              0.0013466,              0.0013466,              0.0013466
                     69,                0.00364,                0.39143,                0.00023,                0.43731,                 1.2408,                0.99683,                      1,                  0.995,                0.87862,                0.99683,                      1,                  0.995,                0.93729,                 0.0042,                0.36324,                  1e-05,                0.48889,                 1.7429,              0.0013367,              0.0013367,              0.0013367
                     70,                0.00342,                0.38897,                0.00022,                0.42705,                 1.2967,                0.99641,                      1,                  0.995,                0.91826,                0.99641,                      1,                  0.995,                0.93271,                0.00338,                 0.3982,                  1e-05,                0.43272,                 1.4918,              0.0013268,              0.0013268,              0.0013268
                     71,                0.00351,                0.48928,                0.00023,                0.42137,                 1.2844,                0.99634,                      1,                  0.995,                0.91703,                0.99634,                      1,                  0.995,                0.93033,                0.00322,                 0.3751,                  2e-05,                0.41902,                 1.4347,              0.0013169,              0.0013169,              0.0013169
                     72,                0.00381,                0.51884,                0.00034,                0.43633,                 1.2829,                0.99572,                      1,                  0.995,                0.91307,                0.99572,                      1,                  0.995,                0.89549,                0.00326,                0.51693,                  1e-05,                0.40518,                 1.4455,               0.001307,               0.001307,               0.001307
                     73,                0.00323,                0.42724,                 0.0002,                0.41603,                 1.2769,                0.99559,                      1,                  0.995,                0.88013,                0.99559,                      1,                  0.995,                 0.8875,                0.00423,                0.52679,                  1e-05,                0.49283,                 1.7806,              0.0012971,              0.0012971,              0.0012971
                     74,                0.00359,                0.40754,                0.00018,                 0.4486,                 1.3065,                 0.9959,                      1,                  0.995,                0.93068,                 0.9959,                      1,                  0.995,                0.84293,                0.00381,                0.61298,                  1e-05,                0.46189,                 1.6266,              0.0012872,              0.0012872,              0.0012872
                     75,                0.00328,                0.42308,                 0.0002,                0.42645,                 1.2795,                0.99659,                      1,                  0.995,                0.90877,                0.99659,                      1,                  0.995,                0.87011,                0.00326,                0.50709,                  1e-05,                0.42497,                 1.4211,              0.0012773,              0.0012773,              0.0012773
                     76,                0.00364,                0.40808,                0.00024,                0.42661,                 1.2493,                0.99731,                      1,                  0.995,                0.91331,                0.99731,                      1,                  0.995,                0.95082,                0.00325,                0.30986,                  2e-05,                0.38154,                 1.4839,              0.0012674,              0.0012674,              0.0012674
                     77,                0.00324,                0.35789,                0.00025,                0.41642,                 1.2557,                0.99726,                      1,                  0.995,                0.90548,                0.99726,                      1,                  0.995,                0.96126,                0.00337,                0.29421,                  2e-05,                0.38208,                 1.5466,              0.0012575,              0.0012575,              0.0012575
